Country,Continent,Age Group,Gender,Platform,Request Type,Job Type,Referral Source,Inquiry Time,Date
Nigeria,Africa,36-45,Male,Mobile,Demo Request,,Social Media,21:47,2024-10-06
Tanzania,Africa,46-55,Male,Mobile,AI Assistance,,Ads,07:32,2024-11-04
Algeria,Africa,26-35,Other,Tablet,Promotional Event,,Direct Search,07:28,2024-10-28
China,Asia,26-35,Other,Desktop,Job Placement,DevOps Engineer,Ads,06:48,2024-06-21
South Africa,Africa,46-55,Male,Desktop,Job Placement,AI/ML Engineer,Word of Mouth,01:46,2024-08-23
Morocco,Africa,18-25,Other,Desktop,Promotional Event,,Word of Mouth,18:12,2024-12-26
Nigeria,Africa,26-35,Female,Mobile,Demo Request,,Social Media,12:17,2024-08-20
Japan,Asia,36-45,Female,Mobile,Job Placement,Software Engineer,Affiliate,20:10,2024-09-30
United Kingdom,Europe,46-55,Female,Desktop,Promotional Event,,Ads,21:20,2025-01-28
Egypt,Africa,18-25,Female,Desktop,Job Placement,Software Engineer,Ads,18:56,2025-01-02
South Korea,Asia,46-55,Female,Tablet,Job Type Request,Data Scientist,Word of Mouth,04:15,2025-01-16
Malaysia,Asia,46-55,Other,Desktop,Job Placement,Data Scientist,Ads,16:31,2024-02-16
South Africa,Africa,26-35,Other,Mobile,Job Type Request,AI/ML Engineer,Social Media,12:24,2024-11-01
Ecuador,America,36-45,Other,Mobile,AI Assistance,,Affiliate,08:49,2024-11-24
India,Asia,36-45,Female,Mobile,Job Type Request,Software Engineer,Word of Mouth,16:48,2024-04-01
Ghana,Africa,56+,Other,Mobile,Demo Request,,Word of Mouth,05:34,2025-02-02
Tanzania,Africa,36-45,Female,Mobile,AI Assistance,,Word of Mouth,09:15,2024-01-30
Norway,Europe,18-25,Male,Tablet,Job Type Request,Software Engineer,Affiliate,04:08,2024-12-03
Ecuador,America,26-35,Female,Tablet,Promotional Event,,Direct Search,06:59,2024-10-03
Spain,Europe,46-55,Other,Tablet,Job Placement,Product Manager,Affiliate,14:07,2024-05-06
France,Europe,36-45,Male,Tablet,Promotional Event,,Ads,18:14,2024-01-04
Nigeria,Africa,26-35,Male,Mobile,Job Placement,Software Engineer,Affiliate,07:17,2024-12-08
Brazil,America,56+,Male,Tablet,Promotional Event,,Affiliate,15:15,2025-02-05
Chile,America,26-35,Male,Mobile,Job Type Request,DevOps Engineer,Direct Search,13:29,2025-01-08
South Africa,Africa,18-25,Female,Tablet,Job Placement,Software Engineer,Ads,06:12,2024-10-01
Mexico,America,46-55,Male,Desktop,Job Type Request,Data Scientist,Social Media,14:51,2024-10-08
Nigeria,Africa,56+,Male,Mobile,Demo Request,,Ads,13:31,2024-09-03
Sweden,Europe,18-25,Male,Desktop,AI Assistance,,Direct Search,08:59,2025-02-05
Argentina,America,46-55,Other,Tablet,Promotional Event,,Direct Search,04:12,2024-05-31
Germany,Europe,56+,Other,Tablet,AI Assistance,,Word of Mouth,01:03,2024-10-26
Ecuador,America,56+,Male,Mobile,Promotional Event,,Social Media,05:04,2024-10-31
Egypt,Africa,46-55,Male,Tablet,Demo Request,,Affiliate,19:02,2024-11-13
Morocco,Africa,56+,Other,Tablet,Job Placement,DevOps Engineer,Ads,21:45,2024-06-09
Spain,Europe,46-55,Male,Tablet,Job Placement,Product Manager,Word of Mouth,02:00,2024-08-22
South Africa,Africa,56+,Male,Tablet,Job Placement,Data Scientist,Word of Mouth,02:56,2024-05-05
Indonesia,Asia,26-35,Female,Tablet,Job Placement,AI/ML Engineer,Affiliate,00:42,2025-02-22
India,Asia,26-35,Female,Mobile,AI Assistance,,Affiliate,04:17,2024-05-24
Netherlands,Europe,26-35,Other,Tablet,Job Placement,AI/ML Engineer,Direct Search,08:57,2024-01-27
Morocco,Africa,36-45,Male,Mobile,Job Placement,Data Scientist,Word of Mouth,05:47,2024-08-14
Ecuador,America,18-25,Male,Mobile,Demo Request,,Affiliate,01:53,2024-07-08
Sweden,Europe,26-35,Male,Desktop,Job Placement,Software Engineer,Word of Mouth,06:43,2024-05-07
Ethiopia,Africa,56+,Female,Tablet,Demo Request,,Ads,05:51,2025-02-19
Sweden,Europe,18-25,Male,Tablet,Job Placement,Product Manager,Ads,08:10,2025-02-07
Morocco,Africa,18-25,Female,Mobile,Demo Request,,Direct Search,11:19,2025-02-24
Italy,Europe,18-25,Other,Mobile,Job Type Request,DevOps Engineer,Word of Mouth,02:49,2024-05-22
Pakistan,Asia,46-55,Other,Tablet,Job Placement,Software Engineer,Social Media,08:11,2024-10-24
China,Asia,18-25,Other,Desktop,Job Placement,DevOps Engineer,Direct Search,19:32,2024-02-29
Venezuela,America,26-35,Female,Mobile,Job Type Request,Software Engineer,Affiliate,17:43,2025-01-03
Netherlands,Europe,46-55,Male,Tablet,Job Placement,AI/ML Engineer,Word of Mouth,21:54,2024-03-04
Pakistan,Asia,36-45,Other,Desktop,Job Placement,Product Manager,Word of Mouth,17:08,2024-04-08
Chile,America,26-35,Other,Tablet,Job Placement,Product Manager,Affiliate,00:19,2024-05-26
Sweden,Europe,56+,Other,Tablet,Job Placement,Product Manager,Direct Search,14:43,2024-04-19
Mexico,America,18-25,Female,Tablet,Promotional Event,,Word of Mouth,02:52,2025-01-19
Spain,Europe,26-35,Male,Mobile,AI Assistance,,Social Media,07:30,2024-11-08
Uganda,Africa,46-55,Other,Tablet,Demo Request,,Direct Search,15:25,2024-05-04
Germany,Europe,18-25,Female,Mobile,Demo Request,,Affiliate,14:03,2024-10-12
France,Europe,46-55,Male,Desktop,Promotional Event,,Affiliate,19:20,2025-01-21
Venezuela,America,56+,Female,Tablet,Job Type Request,Data Scientist,Direct Search,14:16,2025-01-19
Spain,Europe,56+,Female,Tablet,Demo Request,,Word of Mouth,14:04,2024-12-31
South Korea,Asia,36-45,Female,Desktop,Promotional Event,,Social Media,04:09,2024-04-28
Mexico,America,26-35,Male,Desktop,Job Type Request,DevOps Engineer,Affiliate,14:26,2024-02-01
Sweden,Europe,46-55,Other,Tablet,AI Assistance,,Affiliate,12:30,2024-01-04
Indonesia,Asia,46-55,Female,Tablet,Promotional Event,,Affiliate,07:31,2024-04-22
Vietnam,Asia,46-55,Male,Desktop,Job Placement,Product Manager,Ads,14:58,2024-03-06
Morocco,Africa,56+,Other,Tablet,AI Assistance,,Social Media,20:27,2024-03-10
Mexico,America,18-25,Female,Desktop,Job Placement,Data Scientist,Direct Search,10:21,2025-01-24
Argentina,America,46-55,Female,Mobile,Job Type Request,Software Engineer,Affiliate,01:22,2024-04-24
Nigeria,Africa,18-25,Male,Mobile,AI Assistance,,Affiliate,04:15,2024-03-05
Canada,America,56+,Male,Desktop,Job Placement,DevOps Engineer,Ads,19:38,2025-01-17
Kenya,Africa,36-45,Male,Tablet,AI Assistance,,Word of Mouth,18:43,2024-07-11
Brazil,America,18-25,Other,Tablet,Demo Request,,Social Media,22:49,2024-06-03
Tanzania,Africa,18-25,Female,Tablet,Job Type Request,DevOps Engineer,Social Media,16:41,2024-06-23
Morocco,Africa,46-55,Male,Desktop,Job Placement,Product Manager,Ads,13:11,2025-01-10
Malaysia,Asia,56+,Female,Desktop,Job Type Request,AI/ML Engineer,Word of Mouth,10:54,2024-05-05
Ghana,Africa,46-55,Male,Desktop,Promotional Event,,Affiliate,21:24,2024-06-21
Uganda,Africa,36-45,Male,Desktop,Demo Request,,Word of Mouth,08:21,2024-05-23
Pakistan,Asia,18-25,Other,Mobile,AI Assistance,,Ads,23:26,2024-09-07
Switzerland,Europe,46-55,Female,Mobile,AI Assistance,,Word of Mouth,07:25,2024-12-20
Spain,Europe,56+,Female,Desktop,Promotional Event,,Affiliate,11:27,2025-01-16
Saudi Arabia,Asia,46-55,Female,Desktop,Job Placement,Data Scientist,Social Media,23:12,2024-06-10
Algeria,Africa,26-35,Male,Mobile,Job Type Request,DevOps Engineer,Affiliate,16:38,2024-05-24
Egypt,Africa,36-45,Male,Desktop,Demo Request,,Word of Mouth,00:45,2024-09-30
Spain,Europe,18-25,Male,Tablet,Job Placement,Data Scientist,Direct Search,03:55,2024-01-07
Thailand,Asia,46-55,Female,Desktop,Demo Request,,Social Media,08:55,2024-09-01
South Africa,Africa,46-55,Female,Mobile,Promotional Event,,Social Media,04:09,2025-02-19
India,Asia,26-35,Male,Tablet,Job Type Request,AI/ML Engineer,Affiliate,19:14,2025-02-01
Peru,America,46-55,Female,Tablet,Job Type Request,DevOps Engineer,Affiliate,19:03,2024-11-08
Egypt,Africa,26-35,Female,Tablet,AI Assistance,,Ads,07:11,2024-10-09
Kenya,Africa,18-25,Female,Desktop,Promotional Event,,Direct Search,09:02,2024-04-28
Indonesia,Asia,46-55,Male,Tablet,Demo Request,,Word of Mouth,20:37,2024-12-04
Sweden,Europe,18-25,Other,Mobile,Demo Request,,Word of Mouth,04:04,2024-01-31
Spain,Europe,56+,Other,Tablet,Job Placement,Product Manager,Social Media,14:44,2024-06-04
Argentina,America,56+,Other,Desktop,Job Type Request,Software Engineer,Affiliate,01:56,2024-08-09
Malaysia,Asia,36-45,Male,Mobile,Demo Request,,Affiliate,18:01,2025-01-26
Malaysia,Asia,18-25,Male,Desktop,Promotional Event,,Direct Search,08:11,2024-10-26
Peru,America,18-25,Female,Desktop,Job Type Request,DevOps Engineer,Word of Mouth,21:06,2024-03-23
Vietnam,Asia,46-55,Female,Tablet,Job Type Request,AI/ML Engineer,Social Media,14:05,2024-06-10
Saudi Arabia,Asia,18-25,Female,Tablet,AI Assistance,,Affiliate,14:26,2024-01-28
Belgium,Europe,36-45,Other,Desktop,Job Type Request,Software Engineer,Ads,08:35,2024-03-08
Thailand,Asia,46-55,Male,Mobile,Promotional Event,,Ads,22:10,2024-06-08
Algeria,Africa,46-55,Male,Mobile,AI Assistance,,Direct Search,03:41,2024-03-19
Argentina,America,56+,Other,Desktop,Job Type Request,Product Manager,Direct Search,07:29,2024-10-09
Sweden,Europe,26-35,Other,Tablet,Demo Request,,Social Media,08:49,2025-02-08
Colombia,America,56+,Female,Mobile,Job Placement,DevOps Engineer,Affiliate,18:42,2024-09-07
Switzerland,Europe,56+,Female,Desktop,Job Placement,AI/ML Engineer,Affiliate,12:29,2024-06-13
Italy,Europe,56+,Female,Mobile,Job Type Request,Software Engineer,Word of Mouth,23:30,2024-12-27
Chile,America,26-35,Female,Mobile,Demo Request,,Affiliate,18:21,2024-02-21
Canada,America,56+,Female,Mobile,Demo Request,,Direct Search,20:09,2024-02-08
Argentina,America,36-45,Other,Tablet,Job Type Request,Software Engineer,Word of Mouth,21:54,2024-09-30
Colombia,America,46-55,Other,Mobile,Promotional Event,,Social Media,07:40,2024-12-16
South Korea,Asia,18-25,Female,Mobile,AI Assistance,,Direct Search,05:44,2024-06-02
Nigeria,Africa,36-45,Male,Desktop,Job Placement,DevOps Engineer,Direct Search,04:15,2024-09-28
Venezuela,America,26-35,Male,Mobile,AI Assistance,,Affiliate,12:39,2024-12-15
Switzerland,Europe,56+,Male,Mobile,Job Type Request,DevOps Engineer,Direct Search,08:42,2024-01-05
Argentina,America,56+,Male,Mobile,Job Type Request,DevOps Engineer,Affiliate,09:40,2024-08-05
Thailand,Asia,36-45,Male,Desktop,Job Type Request,Software Engineer,Ads,12:36,2024-07-02
Indonesia,Asia,18-25,Other,Desktop,Job Placement,Software Engineer,Affiliate,21:49,2025-01-16
Tanzania,Africa,46-55,Female,Mobile,Promotional Event,,Word of Mouth,07:40,2024-04-07
Japan,Asia,18-25,Other,Tablet,AI Assistance,,Word of Mouth,14:02,2024-10-23
Japan,Asia,18-25,Female,Desktop,Job Type Request,Data Scientist,Ads,04:50,2024-10-03
Pakistan,Asia,56+,Female,Mobile,Job Placement,Product Manager,Word of Mouth,23:55,2024-06-22
